CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017
AGGRAVATED ASSAULT,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,3,76
AGGRAVATED ASSAULT,CITIZEN ASSIST,NA,NA,NA,NA,NA,NA,NA,NA,1
AGGRAVATED ASSAULT,CSC 1ST DEGREE - PENIS / VAGINA,NA,NA,NA,NA,NA,NA,NA,NA,1
AGGRAVATED ASSAULT,CSC 2ND DEGREE - FORCIBLE CONTACT,NA,NA,NA,NA,NA,NA,NA,NA,1
AGGRAVATED ASSAULT,KIDNAPPING / ABDUCTION,NA,NA,NA,NA,NA,NA,NA,1,9
AGGRAVATED ASSAULT,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),NA,NA,NA,NA,NA,NA,NA,1,40
AGGRAVATED ASSAULT,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,NA,NA,NA,NA,NA,NA,NA,NA,1
AGGRAVATED ASSAULT,ROBBERY,NA,NA,NA,NA,NA,NA,NA,1,9
ARSON,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,11
ARSON,ARSON - ATTEMPT,NA,NA,NA,NA,NA,NA,NA,NA,1
ARSON,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,7
ARSON,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),NA,NA,NA,NA,NA,NA,NA,NA,4
ARSON,ROBBERY,NA,NA,NA,NA,NA,NA,NA,NA,2
ASSAULT,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,1
ASSAULT,CSC 2ND DEGREE - FORCIBLE CONTACT,NA,NA,NA,NA,NA,NA,NA,1,NA
ASSAULT,KIDNAPPING / ABDUCTION,NA,NA,NA,NA,NA,NA,NA,NA,11
ASSAULT,ROBBERY,NA,NA,NA,NA,NA,NA,NA,1,6
ASSAULT,THREATS / HARASSMENT BY USE OF TELEPHONE,NA,NA,NA,NA,NA,NA,NA,NA,20
ASSAULT,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA),NA,NA,NA,NA,NA,NA,NA,NA,1
BURGLARY,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,8,111
BURGLARY,ARSON,NA,NA,NA,NA,NA,NA,NA,NA,10
BURGLARY,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,9,129
BURGLARY,CSC 1ST DEGREE - OBJECT,NA,NA,NA,NA,NA,NA,NA,NA,1
BURGLARY,CSC 1ST DEGREE - PENIS / VAGINA,NA,NA,NA,NA,NA,NA,NA,NA,1
BURGLARY,CSC 2ND DEGREE - FORCIBLE CONTACT,NA,NA,NA,NA,NA,NA,NA,NA,4
BURGLARY,CSC 4TH DEGREE - FORCIBLE CONTACT,NA,NA,NA,NA,NA,NA,NA,NA,2
BURGLARY,INTIMIDATION / STALKING,NA,NA,NA,NA,NA,NA,NA,NA,4
BURGLARY,KIDNAPPING / ABDUCTION,NA,NA,NA,NA,NA,NA,NA,NA,4
BURGLARY,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),NA,NA,NA,NA,NA,NA,NA,NA,1
BURGLARY,POSSESSION OF BURGLARY TOOLS,NA,NA,NA,NA,NA,NA,NA,NA,3
BURGLARY,ROBBERY,NA,NA,NA,NA,NA,NA,NA,3,7
BURGLARY,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
DAMAGE TO PROPERTY,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,2,NA,16,425
DAMAGE TO PROPERTY,ARSON,NA,NA,NA,NA,NA,NA,NA,1,6
DAMAGE TO PROPERTY,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,20,422
DAMAGE TO PROPERTY,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT),NA,NA,NA,NA,NA,NA,NA,1,14
DAMAGE TO PROPERTY,BURGLARY - FORCED ENTRY,NA,NA,NA,NA,NA,NA,NA,6,165
DAMAGE TO PROPERTY,COMPUTER USED IN THE COMMISION OF CRIME,NA,NA,NA,NA,NA,NA,NA,NA,1
DAMAGE TO PROPERTY,CSC 4TH DEGREE - FORCIBLE CONTACT,NA,NA,NA,NA,NA,NA,NA,NA,1
DAMAGE TO PROPERTY,DAMAGE TO PUBLIC PROPERTY,NA,NA,NA,NA,NA,NA,NA,NA,1
DAMAGE TO PROPERTY,ENTRY WITHOUT PERMISSION (NO INTENT),NA,NA,NA,NA,NA,NA,NA,NA,4
DAMAGE TO PROPERTY,EXTORTION,NA,NA,NA,NA,NA,NA,NA,NA,1
DAMAGE TO PROPERTY,FORGERY / COUNTERFEITING,NA,NA,NA,NA,NA,NA,NA,NA,1
DAMAGE TO PROPERTY,FRAUD - IMPERSONATION,NA,NA,NA,NA,NA,NA,NA,NA,2
DAMAGE TO PROPERTY,INTIMIDATION / STALKING,NA,NA,NA,NA,NA,NA,NA,1,6
DAMAGE TO PROPERTY,KIDNAPPING / ABDUCTION,NA,NA,NA,NA,NA,NA,NA,NA,1
DAMAGE TO PROPERTY,LARCENY - FROM A COIN OPERATED MACHINE,NA,NA,NA,NA,NA,NA,NA,NA,4
DAMAGE TO PROPERTY,LARCENY - OTHER,NA,NA,NA,NA,NA,NA,NA,1,45
DAMAGE TO PROPERTY,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE,NA,NA,NA,NA,NA,NA,NA,3,163
DAMAGE TO PROPERTY,LARCENY - THEFT FROM BUILDING,NA,NA,NA,NA,NA,NA,NA,6,37
DAMAGE TO PROPERTY,LARCENY - THEFT OF MOTOR VEHICLE PARTS / ACCESSORIES,NA,NA,NA,NA,NA,NA,NA,NA,31
DAMAGE TO PROPERTY,LARCENY FROM GROUNDS,NA,NA,NA,NA,NA,NA,NA,NA,2
DAMAGE TO PROPERTY,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY),NA,NA,NA,NA,NA,NA,NA,NA,2
DAMAGE TO PROPERTY,MOTOR VEHICLE THEFT,NA,NA,NA,NA,NA,NA,NA,NA,4
DAMAGE TO PROPERTY,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),NA,NA,NA,NA,NA,NA,NA,NA,1
DAMAGE TO PROPERTY,ROBBERY,NA,NA,NA,NA,NA,NA,NA,1,22
DANGEROUS DRUGS,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,30
DANGEROUS DRUGS,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,18
DANGEROUS DRUGS,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT),NA,NA,NA,NA,NA,NA,NA,NA,1
DANGEROUS DRUGS,BURGLARY - FORCED ENTRY,NA,NA,NA,NA,NA,NA,NA,NA,4
DANGEROUS DRUGS,BURGLARY - FORCED ENTRY -  RESIDENCE,NA,NA,NA,NA,NA,NA,NA,NA,1
DANGEROUS DRUGS,DAMAGE TO PRIVATE PROPERTY,NA,NA,NA,NA,NA,NA,NA,NA,1
DANGEROUS DRUGS,DAMAGE TO PROPERTY,NA,NA,NA,NA,NA,NA,NA,NA,7
DANGEROUS DRUGS,ENTRY WITHOUT PERMISSION (NO INTENT),NA,NA,NA,NA,NA,NA,NA,NA,3
DANGEROUS DRUGS,FORGERY / COUNTERFEITING,NA,NA,NA,NA,NA,NA,NA,NA,4
DANGEROUS DRUGS,FRAUD - CREDIT CARD/AUTOMATIC TELLER MACHINE,NA,NA,NA,NA,NA,NA,NA,NA,2
DANGEROUS DRUGS,LARCENY - OTHER,NA,NA,NA,NA,NA,NA,NA,1,3
DANGEROUS DRUGS,LARCENY - THEFT FROM BUILDING,NA,NA,NA,NA,NA,NA,NA,NA,1
DANGEROUS DRUGS,LARCENY FROM GROUNDS,NA,NA,NA,NA,NA,NA,NA,NA,1
DANGEROUS DRUGS,MARIJUANA - DELIVER,NA,NA,NA,NA,NA,NA,NA,NA,1
DANGEROUS DRUGS,MISCELLANEOUS CRIMINAL OFFENSE,NA,NA,NA,NA,NA,NA,NA,NA,1
DANGEROUS DRUGS,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY),NA,NA,NA,NA,NA,NA,NA,NA,14
DANGEROUS DRUGS,MOTOR VEHICLE THEFT,NA,NA,NA,NA,NA,NA,NA,NA,8
DANGEROUS DRUGS,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),NA,NA,NA,NA,NA,NA,NA,NA,1
DANGEROUS DRUGS,ORDINANCE VIOLATION/INVESTIGATION,NA,NA,NA,NA,NA,NA,NA,NA,1
DANGEROUS DRUGS,RETAIL FRAUD - THEFT,NA,NA,NA,NA,NA,NA,NA,NA,5
DANGEROUS DRUGS,ROBBERY,NA,NA,NA,NA,NA,NA,NA,NA,3
DANGEROUS DRUGS,STOLEN PROPERTY,NA,NA,NA,NA,NA,NA,NA,NA,4
DISORDERLY CONDUCT,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,3
DISORDERLY CONDUCT,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,14
DISORDERLY CONDUCT,DAMAGE TO PROPERTY,NA,NA,NA,NA,NA,NA,NA,NA,9
DISORDERLY CONDUCT,FORGERY / COUNTERFEITING,NA,NA,NA,NA,NA,NA,NA,NA,1
DISORDERLY CONDUCT,LARCENY - THEFT FROM BUILDING,NA,NA,NA,NA,NA,NA,NA,NA,2
DISORDERLY CONDUCT,NARCOTIC EQUIPMENT VIOLATIONS,NA,NA,NA,NA,NA,NA,NA,NA,1
DISORDERLY CONDUCT,OBSTRUCTING POLICE,NA,NA,NA,NA,NA,NA,NA,NA,11
DISORDERLY CONDUCT,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA),NA,NA,NA,NA,NA,NA,NA,1,9
DISORDERLY CONDUCT,WEAPONS OFFENSE - OTHER,NA,NA,NA,NA,NA,NA,NA,NA,1
FAMILY OFFENSE,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,2,10
FAMILY OFFENSE,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,6
FAMILY OFFENSE,BURGLARY - FORCED ENTRY,NA,NA,NA,NA,NA,NA,NA,1,2
FAMILY OFFENSE,CSC 1ST DEGREE - PENIS / VAGINA,NA,NA,NA,NA,NA,NA,NA,NA,1
FAMILY OFFENSE,CSC 2ND DEGREE - FORCIBLE CONTACT,NA,NA,NA,NA,NA,NA,NA,NA,1
FAMILY OFFENSE,DAMAGE TO PROPERTY,NA,NA,NA,NA,NA,NA,NA,1,2
FAMILY OFFENSE,EMBEZZLEMENT,NA,NA,NA,NA,NA,NA,NA,NA,1
FAMILY OFFENSE,INTIMIDATION / STALKING,NA,NA,NA,NA,NA,NA,NA,NA,1
FORGERY,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,2
FORGERY,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,1
FORGERY,LARCENY - OTHER,NA,NA,NA,NA,NA,NA,NA,NA,3
FORGERY,LARCENY - THEFT FROM BUILDING,NA,NA,NA,NA,NA,NA,NA,NA,2
FORGERY,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY),NA,NA,NA,NA,NA,NA,NA,NA,2
FORGERY,MOTOR VEHICLE THEFT,NA,NA,NA,NA,NA,NA,NA,NA,1
FRAUD,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,1,4
FRAUD,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,1,8
FRAUD,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT),NA,NA,NA,NA,NA,NA,NA,1,NA
FRAUD,DAMAGE TO PROPERTY,NA,NA,NA,NA,NA,NA,NA,NA,7
FRAUD,ENTRY WITHOUT PERMISSION (NO INTENT),NA,NA,NA,NA,NA,NA,NA,NA,1
FRAUD,INTIMIDATION / STALKING,NA,NA,NA,NA,NA,NA,NA,NA,2
FRAUD,KIDNAPPING / ABDUCTION,NA,NA,NA,NA,NA,NA,NA,NA,1
FRAUD,LARCENY - OTHER,NA,NA,NA,NA,NA,NA,NA,2,13
FRAUD,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE,NA,NA,NA,NA,NA,NA,NA,NA,8
FRAUD,LARCENY - THEFT FROM BUILDING,NA,NA,NA,NA,NA,NA,NA,3,6
FRAUD,LARCENY FROM GROUNDS,NA,NA,NA,NA,NA,NA,NA,NA,1
FRAUD,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY),NA,NA,NA,NA,NA,NA,NA,NA,1
FRAUD,MOTOR VEHICLE THEFT,NA,NA,NA,NA,NA,NA,NA,1,2
FRAUD,ROBBERY,NA,NA,NA,NA,NA,NA,NA,NA,1
FRAUD,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
LARCENY,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,1,NA,NA,76
LARCENY,ARSON,NA,NA,NA,NA,NA,NA,NA,NA,1
LARCENY,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,11,142
LARCENY,BURGLARY - FORCED ENTRY,NA,NA,NA,NA,NA,NA,NA,NA,3
LARCENY,CSC 1ST DEGREE - ORAL / ANAL,NA,NA,NA,NA,NA,NA,NA,1,NA
LARCENY,CSC 1ST DEGREE - PENIS / VAGINA,NA,NA,NA,NA,NA,NA,NA,1,1
LARCENY,CSC 2ND DEGREE - FORCIBLE CONTACT,NA,NA,NA,NA,NA,NA,NA,1,1
LARCENY,CSC 3RD DEGREE - PENIS / VAGINA,NA,NA,NA,NA,NA,NA,NA,NA,1
LARCENY,DAMAGE TO PROPERTY,NA,NA,NA,NA,NA,NA,NA,NA,1
LARCENY,ENTRY WITHOUT PERMISSION (NO INTENT),NA,NA,NA,NA,NA,NA,NA,NA,2
LARCENY,EXTORTION,NA,NA,NA,NA,NA,NA,NA,1,1
LARCENY,KIDNAPPING / ABDUCTION,NA,NA,NA,NA,NA,NA,NA,NA,2
LARCENY,LARCENY - FROM A COIN OPERATED MACHINE,NA,NA,NA,NA,NA,NA,NA,NA,8
LARCENY,ROBBERY,NA,NA,NA,NA,NA,NA,NA,NA,1
LARCENY,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
LIQUOR,ALCOHOL - MINOR IN POSSESSION,NA,NA,NA,NA,NA,NA,NA,NA,7
LIQUOR,LIQUOR LICENSE - ESTABLISHMENT,NA,NA,NA,NA,NA,NA,NA,NA,2
MISCELLANEOUS,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,1,5
MISCELLANEOUS,ARSON,NA,NA,NA,NA,NA,NA,NA,NA,1
MISCELLANEOUS,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,5
MISCELLANEOUS,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT),NA,NA,NA,NA,NA,NA,NA,NA,2
MISCELLANEOUS,BURGLARY - FORCED ENTRY,NA,NA,NA,NA,NA,NA,NA,NA,3
MISCELLANEOUS,DAMAGE TO PROPERTY,NA,NA,NA,NA,NA,NA,NA,1,2
MISCELLANEOUS,DISTURBING THE PEACE,NA,NA,NA,NA,NA,NA,NA,NA,1
MISCELLANEOUS,EMBEZZLEMENT,NA,NA,NA,NA,NA,NA,NA,NA,1
