crm_cd,crime_code_description
110,CRIMINAL HOMICIDE
113,"MANSLAUGHTER, NEGLIGENT"
121,"RAPE, FORCIBLE"
122,"RAPE, ATTEMPTED"
210,ROBBERY
220,ATTEMPTED ROBBERY
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
237,CHILD NEGLECT (SEE 300 W.I.C.)
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
251,SHOTS FIRED AT INHABITED DWELLING
310,BURGLARY
320,"BURGLARY, ATTEMPTED"
330,BURGLARY FROM VEHICLE
331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
345,DISHONEST EMPLOYEE - GRAND THEFT
347,GRAND THEFT / INSURANCE FRAUD
349,GRAND THEFT / AUTO REPAIR
350,"THEFT, PERSON"
351,PURSE SNATCHING
352,PICKPOCKET
353,DRUNK ROLL
354,THEFT OF IDENTITY
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
432,BLOCKING DOOR INDUCTION CENTER
433,DRIVING WITHOUT OWNER CONSENT (DWOC)
434,FALSE IMPRISONMENT
435,LYNCHING
436,LYNCHING - ATTEMPTED
437,RESISTING ARREST
438,RECKLESS DRIVING
439,FALSE POLICE REPORT
440,THEFT PLAIN - PETTY ($950 & UNDER)
441,THEFT PLAIN - ATTEMPT
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
443,SHOPLIFTING - ATTEMPT
444,DISHONEST EMPLOYEE - PETTY THEFT
445,DISHONEST EMPLOYEE ATTEMPTED THEFT
446,PETTY THEFT - AUTO REPAIR
450,THEFT FROM PERSON - ATTEMPT
451,PURSE SNATCHING - ATTEMPT
452,"PICKPOCKET, ATTEMPT"
453,DRUNK ROLL - ATTEMPT
470,TILL TAP - GRAND THEFT ($950.01 & OVER)
471,TILL TAP - PETTY ($950 & UNDER)
472,TILL TAP - ATTEMPT
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
475,"THEFT, COIN MACHINE - ATTEMPT"
480,BIKE - STOLEN
485,BIKE - ATTEMPTED STOLEN
487,BOAT - STOLEN
510,VEHICLE - STOLEN
520,VEHICLE - ATTEMPT STOLEN
522,"VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS"
622,BATTERY ON A FIREFIGHTER
623,BATTERY POLICE (SIMPLE)
624,BATTERY - SIMPLE ASSAULT
625,OTHER ASSAULT
626,INTIMATE PARTNER - SIMPLE ASSAULT
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
647,THROWING OBJECT AT MOVING VEHICLE
648,ARSON
649,DOCUMENT FORGERY / STOLEN FELONY
651,DOCUMENT WORTHLESS ($200.01 & OVER)
652,DOCUMENT WORTHLESS ($200 & UNDER)
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
660,COUNTERFEIT
661,UNAUTHORIZED COMPUTER ACCESS
662,"BUNCO, GRAND THEFT"
664,"BUNCO, PETTY THEFT"
666,"BUNCO, ATTEMPT"
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
753,DISCHARGE FIREARMS/SHOTS FIRED
755,BOMB SCARE
756,WEAPONS POSSESSION/BOMBING
760,LEWD/LASCIVIOUS ACTS WITH CHILD
761,BRANDISH WEAPON
762,LEWD CONDUCT
763,STALKING
805,PIMPING
806,PANDERING
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
813,CHILD ANNOYING (17YRS & UNDER)
814,CHILD PORNOGRAPHY
815,SEXUAL PENETRATION W/FOREIGN OBJECT
820,ORAL COPULATION
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
850,INDECENT EXPOSURE
860,BATTERY WITH SEXUAL CONTACT
865,"DRUGS, TO A MINOR"
870,CHILD ABANDONMENT
880,DISRUPT SCHOOL
882,INCITING A RIOT
884,FAILURE TO DISPERSE
886,DISTURBING THE PEACE
888,TRESPASSING
890,FAILURE TO YIELD
900,VIOLATION OF COURT ORDER
901,VIOLATION OF RESTRAINING ORDER
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
903,CONTEMPT OF COURT
905,FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO)
906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
910,KIDNAPPING
920,KIDNAPPING - GRAND ATTEMPT
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
922,CHILD STEALING
924,TELEPHONE PROPERTY - DAMAGE
926,TRAIN WRECKING
928,THREATENING PHONE CALLS/LETTERS
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
932,PEEPING TOM
933,PROWLER
940,EXTORTION
942,BRIBERY
943,CRUELTY TO ANIMALS
944,CONSPIRACY
946,OTHER MISCELLANEOUS CRIME
948,BIGAMY
949,ILLEGAL DUMPING
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400"
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER"
952,ABORTION/ILLEGAL
954,CONTRIBUTING
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
